Location,description,styleUrl,longitude,latitude,altitude
30th Pl between Thomson Ave and 47th Ave,$1.85/hour,#icon-1619-F57C00,-73.9364671,40.7441565,0
Red Cross Pl between Cadman Pl E and Bk Bridge Blvd/Adams St,$1.85/hour,#icon-1619-F57C00,-73.9892923,40.6995248,0
Leonard St between Lafayette and Centre Streets,$1.85/hour,#icon-1619-F57C00,-74.0021142,40.7160097,0
Reade St between Elk and Lafayette Streets,$1.85/hour,#icon-1619-F57C00,-74.0040528,40.7138157,0
Bedford Park Blvd: Goulden Ave/Paul Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.8928548,40.87509,0
Broadway: West 242nd Street/West 240th Street,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.8992328,40.8882096,0
Dekalb Ave: East Gun Hill Rd/ East 212th St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.8797377,40.8832959,0
Putnam Place: East Gun Hill Rd./Reservoir Oval West,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.8756532,40.8792643,0
13th Street: 5th Avenue/4th Avenue,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9895154,40.6673854,0
3rd Ave: 33rd St/34th St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-74.0049816,40.656872,0
43rd St: 5th Ave/4th Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-74.0073193,40.649678,0
8th St: 6th Ave/7th Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9823002,40.6681085,0
Brooklyn Ave: St. Marks Ave/Prospect Pl,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9445256,40.6744602,0
Clarkson Ave: 40th St/Albany Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9400806,40.6560096,0
Court St: 1st Pl/Carroll St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9967792,40.6807194,0
Elton St: Flatlands Ave/Locke St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.8746535,40.6571986,0
Lenox Rd: New York Ave/E 34th St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9465512,40.6543448,0
Linden Blvd: E 96th St/Rockaway Pkwy,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9130235,40.6543216,0
Marcus Garvey Blvd: Broadway/Park Avenue,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9414425,40.6995983,0
Meeker Ave: Metropolitan Ave/Rodney St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9530264,40.7141687,0
Norman Ave: Dobbin St/Guernsey St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9539015,40.7247738,0
N 4th St: Bedford Ave/Berry St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9601923,40.7165318,0
Prospect Park West: 5th St/6th St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9751578,40.6667672,0
Stuyvesant Ave: Fulton St/Chauncey St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9313707,40.6798026,0
E 67th St: York Ave/1st Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.957285,40.7642429,0
E 78th St: Park Ave/Lex,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9602597,40.7746449,0
East End Ave: E 88th St/E 87th St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9441058,40.7759746,0
Fort Washington Ave: W 164th St/W 165th St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9432872,40.8397272,0
W 76th St: Amsterdam Ave/Columbus Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9785744,40.7807233,0
W 84th St: Amsterdam Ave/Columbus Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9745641,40.7857818,0
W 93rd St: Central Park W/Columbus Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9676464,40.7904383,0
225th St: Merrick Blvd/135th Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.7453472,40.6768492,0
33rd St: 31st Ave/Broadway,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9228583,40.762516,0
35th St: 30th Ave/28th Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9176201,40.7662409,0
38th St: 36th Ave/35th Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9235539,40.754803,0
41st Ave: 81st St/Baxter Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.8841653,40.7459742,0
72nd St: 37th Ave/35th Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.893908,40.7499092,0
Queens Blvd: 34th St/33rd St,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-73.9312093,40.7448015,0
Mason Ave: Seaview/Delaware Ave,$2.50/hr + overnight dwell fee of $1/hr,#icon-1619-F57C00,-74.0874818,40.5859992,0
